# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	36547
#@/user_id	a2539fd9-2f40-4b0c-9b41-1f929aaf0d62
a 	啊	c=102 d=3.06009 t=36547
a li 	阿里	c=2 d=1.82901e-15 t=36547
a li lang 	阿里郎	c=1 d=0.65377 t=36547
a sa 	啊撒	c=1 d=4.43988e-17 t=36547
a sa su qiu wang qia sha jun ji sha de na ha shi fa hong bao 	啊撒訴求網卡殺菌劑啥的那哈市發紅包	c=1 d=4.11215e-17 t=36547
a su 	阿蘇	c=0 d=4.07124e-18 t=36547
ai 	唉	c=4 d=4.49482e-05 t=36547
ai 	愛	c=0 d=2.80631e-23 t=36547
ai chi 	愛吃	c=0 d=0.000357068 t=36547
ai chi ce shi shi 	愛吃測試是	c=1 d=0.00358858 t=36547
ai ma 	捱罵	c=1 d=0.000193545 t=36547
ai pa pa 	矮趴趴	c=2 d=2.54193e-05 t=36547
ai ya 	哎呀	c=1 d=1.9559e-10 t=36547
an 	安	c=1 d=1.68724e-07 t=36547
an 	按	c=9 d=0.0141224 t=36547
an 	暗	c=1 d=8.03475e-15 t=36547
an jing 	安靜	c=1 d=0.000841773 t=36547
an le 	按了	c=1 d=3.66169e-05 t=36547
an li 	安利	c=1 d=2.15235e-09 t=36547
an li gei wo 	安利給我	c=1 d=1.82808e-09 t=36547
an mo 	按摩	c=1 d=9.93119e-08 t=36547
an pai 	安排	c=1 d=1.18753e-22 t=36547
an quan 	安全	c=3 d=1.42323e-05 t=36547
an shan shi 	鞍山市	c=1 d=3.70227e-17 t=36547
an tian 	按天	c=1 d=5.57675e-13 t=36547
an zhao 	按照	c=25 d=0.865057 t=36547
an zhuang 	安裝	c=12 d=0.140589 t=36547
an zhuang bao 	安裝包	c=1 d=8.5345e-19 t=36547
an zhuo 	安卓	c=8 d=0.0192547 t=36547
ao 	奧	c=0 d=4.23378e-08 t=36547
ba 	吧	c=170 d=1.83333 t=36547
ba 	把	c=116 d=3.25914 t=36547
ba 	爸	c=1 d=2.8561e-23 t=36547
ba ba 	巴巴	c=1 d=1.20527e-20 t=36547
ba ba 	爸爸	c=2 d=0.0026206 t=36547
ba gu wen 	八股文	c=1 d=3.97342e-25 t=36547
ba he 	巴赫	c=1 d=0.00104368 t=36547
ba ni 	把你	c=1 d=1.35824e-14 t=36547
ba ta 	把他	c=1 d=0.118837 t=36547
ba ta 	把它	c=1 d=2.98654e-19 t=36547
bai 	擺	c=1 d=1.1063e-12 t=36547
bai 	白	c=3 d=0.0878095 t=36547
bai bu 	白布	c=1 d=1.27056e-23 t=36547
bai du 	百度	c=15 d=0.000386246 t=36547
bai du shu ru fa 	百度輸入法	c=1 d=4.36198e-05 t=36547
bai ku 	白庫	c=1 d=1.0406e-27 t=36547
bai ming dan 	白名單	c=27 d=3.73664 t=36547
bai piao 	白嫖	c=5 d=0.000413853 t=36547
bai se 	白色	c=1 d=1.03309e-30 t=36547
bai shi zhou 	白石洲	c=1 d=0.105928 t=36547
bai shuo 	白說	c=1 d=3.30233e-25 t=36547
bai tian 	白天	c=1 d=4.32225e-15 t=36547
bai wan 	百萬	c=1 d=5.39612e-08 t=36547
bai zuo 	白做	c=0 d=9.75808e-08 t=36547
bai zuo le 	白做了	c=1 d=9.80699e-07 t=36547
ban 	半	c=1 d=0.0502874 t=36547
ban 	板	c=1 d=0.463013 t=36547
ban 	版	c=18 d=0.639606 t=36547
ban 	班	c=3 d=0.273898 t=36547
ban 	般	c=1 d=1.16905e-14 t=36547
ban 	辦	c=1 d=1.25989e-13 t=36547
ban ben 	版本	c=15 d=0.00114197 t=36547
ban ben jiu xing 	版本就行	c=1 d=2.0608e-07 t=36547
ban bian 	半邊	c=1 d=5.79034e-14 t=36547
ban fen zhong 	半分鐘	c=2 d=4.95641e-08 t=36547
ban fo 	半佛	c=1 d=1.35381e-05 t=36547
ban ge 	半個	c=2 d=9.37706e-09 t=36547
ban ge xiao shi 	半個小時	c=1 d=0.071719 t=36547
ban jia 	半價	c=2 d=3.65657e-10 t=36547
ban kuai 	板塊	c=3 d=6.17982e-05 t=36547
ban mao qian 	半毛錢	c=1 d=1.09529e-12 t=36547
ban xiao shi 	半小時	c=2 d=8.27381e-07 t=36547
bang 	棒	c=3 d=9.80699e-07 t=36547
bang bang 	棒棒	c=1 d=0.00131019 t=36547
bang bang da 	棒棒噠	c=5 d=0.0131675 t=36547
bang ding 	綁定	c=3 d=2.07781e-06 t=36547
bang mang 	幫忙	c=24 d=0.0413965 t=36547
bang wo 	幫我	c=3 d=2.23206e-05 t=36547
bao 	包	c=13 d=0.293772 t=36547
bao 	報	c=9 d=0.763379 t=36547
bao 	寶	c=3 d=0.0128864 t=36547
bao 	爆	c=2 d=0.205975 t=36547
bao 	飽	c=0 d=7.73311e-07 t=36547
bao an 	保安	c=1 d=6.10609e-21 t=36547
bao bao 	抱抱	c=3 d=0.0366992 t=36547
bao bei 	寶貝	c=81 d=1.96787 t=36547
bao biao 	報表	c=29 d=0.826965 t=36547
bao chi 	保持	c=2 d=1.74704e-05 t=36547
bao chu 	報出	c=1 d=5.92361e-17 t=36547
bao cu mei 	包蹙眉	c=1 d=2.24363e-07 t=36547
bao cun 	保存	c=4 d=0.000889106 t=36547
bao cuo 	報錯	c=32 d=0.073889 t=36547
bao dian 	寶典	c=1 d=5.94723e-05 t=36547
bao gao 	報告	c=1 d=5.37652e-24 t=36547
bao guang 	曝光	c=15 d=4.96119e-11 t=36547
bao guang zhi 	曝光值	c=5 d=1.31597e-11 t=36547
bao guo 	包裹	c=2 d=0.000452493 t=36547
bao han 	包含	c=6 d=0.0953692 t=36547
bao hu 	保護	c=3 d=0.19593 t=36547
bao jing 	報警	c=4 d=0.00562043 t=36547
bao jing qun 	報警羣	c=1 d=0.0555762 t=36547
bao kong 	報空	c=1 d=0.00458484 t=36547
bao kong 	暴恐	c=4 d=0.015856 t=36547
bao li 	暴力	c=1 d=0.000133021 t=36547
bao liu 	保留	c=4 d=0.0236356 t=36547
bao lu 	暴露	c=2 d=8.38063e-11 t=36547
bao tuan 	抱團	c=1 d=0.00267181 t=36547
bao xian 	保險	c=1 d=1.19555e-13 t=36547
bao zha 	爆炸	c=1 d=1.35847e-16 t=36547
bao zhe 	抱着	c=2 d=3.97693e-06 t=36547
bao zheng 	保證	c=3 d=1.26073e-24 t=36547
be 	别	c=1 d=1.11955e-05 t=36547
bei 	北	c=1 d=0.995012 t=36547
bei 	唄	c=1 d=5.49466e-15 t=36547
bei 	背	c=12 d=0.120633 t=36547
bei 	被	c=46 d=0.0270518 t=36547
bei 	貝	c=0 d=3.85336e-18 t=36547
bei an 	備案	c=3 d=0.00346515 t=36547
bei da 	北大	c=1 d=2.55068e-16 t=36547
bei dan ci 	背單詞	c=2 d=0.231388 t=36547
bei di 	貝蒂	c=1 d=0.00157264 t=36547
bei fen 	備份	c=30 d=0.341298 t=36547
bei guo 	背鍋	c=1 d=1.77037e-14 t=36547
bei jing 	北京	c=10 d=0.000572785 t=36547
bei jing 	背景	c=5 d=6.79641e-09 t=36547
bei jing se 	背景色	c=1 d=9.785e-10 t=36547
bei mian 	背面	c=1 d=9.69589e-20 t=36547
bei pian 	被騙	c=0 d=2.58923e-17 t=36547
bei pian le 	被騙了	c=1 d=2.60221e-16 t=36547
bei ren 	被人	c=1 d=0.00410726 t=36547
bei shan chu 	被刪除	c=2 d=0.00021535 t=36547
bei ta 	被他	c=1 d=0.131336 t=36547
bei wei 	卑微	c=1 d=0.0208584 t=36547
bei xuan 	備選	c=1 d=0.960789 t=36547
bei zhu 	備註	c=4 d=4.2409e-17 t=36547
ben 	本	c=1 d=1.74313e-08 t=36547
ben ben 	本本	c=1 d=8.00992e-08 t=36547
ben ben 	笨笨	c=1 d=8.05007e-08 t=36547
ben di 	本地	c=23 d=0.00174675 t=36547
ben di ce 	本地測	c=1 d=4.87747e-25 t=36547
ben di hua 	本地化	c=1 d=0.00158052 t=36547
ben ji 	本機	c=10 d=0.00159641 t=36547
ben lai 	本來	c=10 d=0.0135686 t=36547
ben lai shi 	本來是	c=1 d=1.2732e-18 t=36547
ben shen 	本身	c=2 d=0.00018046 t=36547
ben yue 	本月	c=1 d=7.36723e-24 t=36547
